site YYMMMDD yyyy.yyyy __MJD week d reflon _e0(m) __east(m) ____n0(m) _north(m) u0(m) ____up(m) _ant(m) sig_e(m) sig_n(m) sig_u(m) __corr_en __corr_eu __corr_nu _latitude(deg) _longitude(deg) __height(m)
GUAT 00SEP02 2000.6708 51789 1077 6  -90.5  -2174 -0.781994   1613669  0.135093  1519  0.861444  0.0000 0.001002 0.000850 0.003829  0.026994 -0.085117  0.044407  14.5904040088  -90.5201831665  1519.86144
GUAT 00SEP03 2000.6735 51790 1078 0  -90.5  -2174 -0.782694   1613669  0.137465  1519  0.866668  0.0000 0.000981 0.000849 0.003759  0.017067 -0.100457  0.027545  14.5904040302  -90.5201831732  1519.86667
GUAT 00SEP04 2000.6762 51791 1078 1  -90.5  -2174 -0.783627   1613669  0.135836  1519  0.863115  0.0000 0.001025 0.000885 0.004051  0.038575 -0.060909 -0.000560  14.5904040154  -90.5201831820  1519.86312
GUAT 00SEP05 2000.6790 51792 1078 2  -90.5  -2174 -0.782977   1613669  0.133722  1519  0.856266  0.0000 0.000988 0.000838 0.003755  0.034599 -0.031574  0.023487  14.5904039963  -90.5201831761  1519.85627
GUAT 00SEP06 2000.6817 51793 1078 3  -90.5  -2174 -0.782021   1613669  0.135821  1519  0.870887  0.0000 0.001031 0.000857 0.004018  0.023375 -0.124829 -0.008034  14.5904040152  -90.5201831674  1519.87089
GUAT 00SEP07 2000.6845 51794 1078 4  -90.5  -2174 -0.781032   1613669  0.137145  1519  0.852030  0.0000 0.000989 0.000840 0.003777 -0.017019 -0.030092  0.000416  14.5904040271  -90.5201831584  1519.85203
GUAT 00SEP08 2000.6872 51795 1078 5  -90.5  -2174 -0.781347   1613669  0.133269  1519  0.848217  0.0000 0.002164 0.001799 0.007652  0.009224  0.046235  0.027788  14.5904039921  -90.5201831615  1519.84822
GUAT 00SEP11 2000.6954 51798 1079 1  -90.5  -2174 -0.779919   1613669  0.140934  1519  0.863753  0.0000 0.002459 0.001893 0.008371 -0.146196  0.071362 -0.064414  14.5904040612  -90.5201831487  1519.86375
GUAT 00SEP12 2000.6982 51799 1079 2  -90.5  -2174 -0.784313   1613669  0.130126  1519  0.859724  0.0000 0.001027 0.000863 0.003947  0.005658 -0.046881  0.042258  14.5904039635  -90.5201831896  1519.85972
GUAT 00SEP13 2000.7009 51800 1079 3  -90.5  -2174 -0.784746   1613669  0.133880  1519  0.846663  0.0000 0.001013 0.000825 0.003909  0.006805 -0.062015  0.005534  14.5904039974  -90.5201831938  1519.84666
GUAT 00SEP14 2000.7036 51801 1079 4  -90.5  -2174 -0.785487   1613669  0.131630  1519  0.856687  0.0000 0.001031 0.000839 0.003858  0.002726 -0.014874 -0.013855  14.5904039770  -90.5201832009  1519.85669
GUAT 00SEP15 2000.7064 51802 1079 5  -90.5  -2174 -0.779436   1613669  0.130617  1519  0.857079  0.0000 0.001008 0.000834 0.003810  0.008809 -0.100693  0.049248  14.5904039678  -90.5201831449  1519.85708
GUAT 00SEP16 2000.7091 51803 1079 6  -90.5  -2174 -0.783196   1613669  0.136018  1519  0.856502  0.0000 0.001023 0.000801 0.003774  0.027456 -0.064048 -0.040679  14.5904040166  -90.5201831799  1519.85650
GUAT 00SEP17 2000.7118 51804 1080 0  -90.5  -2174 -0.784260   1613669  0.130494  1519  0.860246  0.0000 0.000985 0.000834 0.003749  0.015813 -0.076983  0.019161  14.5904039666  -90.5201831900  1519.86025
GUAT 00SEP18 2000.7146 51805 1080 1  -90.5  -2174 -0.783359   1613669  0.133988  1519  0.861084  0.0000 0.000988 0.000841 0.003786  0.014314 -0.048223  0.045381  14.5904039981  -90.5201831818  1519.86108
GUAT 00SEP19 2000.7173 51806 1080 2  -90.5  -2174 -0.778778   1613669  0.138190  1519  0.857016  0.0000 0.000958 0.000778 0.003570  0.007827 -0.080360 -0.046386  14.5904040361  -90.5201831394  1519.85702
GUAT 00SEP20 2000.7201 51807 1080 3  -90.5  -2174 -0.783376   1613669  0.134499  1519  0.854461  0.0000 0.001034 0.000838 0.003941 -0.039464  0.031292  0.007516  14.5904040027  -90.5201831822  1519.85446
GUAT 00SEP21 2000.7228 51808 1080 4  -90.5  -2174 -0.779717   1613669  0.138431  1519  0.847443  0.0000 0.001020 0.000860 0.003995  0.013933  0.014415 -0.017384  14.5904040382  -90.5201831484  1519.84744
GUAT 00SEP22 2000.7255 51809 1080 5  -90.5  -2174 -0.783763   1613669  0.138663  1519  0.854430  0.0000 0.001043 0.000869 0.003953 -0.000863 -0.022820 -0.007080  14.5904040402  -90.5201831862  1519.85443
GUAT 00SEP23 2000.7283 51810 1080 6  -90.5  -2174 -0.781447   1613669  0.140805  1519  0.855342  0.0000 0.001004 0.000847 0.003867  0.011601 -0.005202  0.032806  14.5904040595  -90.5201831648  1519.85534
GUAT 00SEP24 2000.7310 51811 1081 0  -90.5  -2174 -0.782102   1613669  0.137922  1519  0.860195  0.0000 0.001012 0.000858 0.004050  0.045985 -0.042392  0.004998  14.5904040334  -90.5201831711  1519.86020
